sensor,date,lpl_conc,mpl_conc,lpl_ir,mpl_ir,bme_pres,bme_rh,bme_temp,ref_co2,ref_h2o,bme_h2o,N
0101121B,2023-06-16,489.367,1.806,34381.776,35228.655,968.153,50.27,20.955,440.164,1.353,1.2872636,58
0101121E,2023-06-16,462.486,1.527,34608.5,35740.879,968.286,49.955,20.892,440.164,1.353,1.2741302,58
1011222,2023-06-16,410.802,1.561,35632.017,35808.397,968.286,50.439,20.798,440.164,1.353,1.2790362,58
0101121B,2023-06-16 01:00,495.06,1.995,34468.586,34907.379,967.879,59.859,19.714,438.747,1.514,1.4199045,58
0101121E,2023-06-16 01:00,468.448,1.694,34628.448,35408.569,968.022,59.588,19.609,438.747,1.514,1.4041074,58
1011222,2023-06-16 01:00,415.934,1.731,35670.931,35507.224,968.066,60.107,19.562,438.747,1.514,1.4120475,58
0101121B,2023-06-16 02:00,490.919,1.931,34644.492,35166.136,968.124,60.375,19.014,432.08,1.426,1.3712442,59
0101121E,2023-06-16 02:00,464.003,1.632,34770.61,35663.034,968.281,59.909,18.975,432.08,1.426,1.3571479,59
1011222,2023-06-16 02:00,411.085,1.669,35834.237,35775.475,968.305,60.246,18.956,432.08,1.426,1.3631683,59
0101121B,2023-06-16 03:00,503.156,1.941,34489.526,35190.316,968.307,61.928,18.638,442.461,1.454,1.3736042,57
0101121E,2023-06-16 03:00,475.928,1.641,34589.368,35678.228,968.495,61.625,18.638,442.461,1.454,1.3666027,57
1011222,2023-06-16 03:00,422.018,1.682,35662.07,35802.035,968.5,61.947,18.55,442.461,1.454,1.3662538,57
0101121B,2023-06-16 04:00,512.788,1.972,34347.211,35125.754,968.46,63.588,18.499,448.398,1.456,1.3980043,57
0101121E,2023-06-16 04:00,484.495,1.662,34449.158,35631.421,968.6,63.158,18.497,448.398,1.456,1.3881124,57
1011222,2023-06-16 04:00,429.723,1.705,35527.333,35759.333,968.6,63.526,18.39,448.398,1.456,1.3869068,57
0101121B,2023-06-16 05:00,486.481,1.868,34501.189,35132.717,968.526,53.221,20.484,426.976,1.32,1.3224944,53
0101121E,2023-06-16 05:00,458.068,1.566,34745.226,35696.642,968.719,53.028,20.329,426.976,1.32,1.3048815,53
1011222,2023-06-16 05:00,405.191,1.608,35798.585,35745.604,968.708,53.432,20.317,426.976,1.32,1.3137868,53
0101121B,2023-06-16 06:00,482.942,1.923,34160.542,34624.814,968.802,46.515,23.08,422.141,1.361,1.3538264,59
0101121E,2023-06-16 06:00,451.742,1.62,34592.542,35216.983,969.007,46.48,22.861,422.141,1.361,1.3347272,59
1011222,2023-06-16 06:00,399.661,1.674,35605.186,35160.627,968.964,46.679,22.874,422.141,1.361,1.3415574,59
0101121B,2023-06-16 07:00,484.942,2.014,33481.271,33836.492,969.041,37.683,27.105,421.639,1.415,1.3901852,59
0101121E,2023-06-16 07:00,450.575,1.724,34160.932,34431.034,969.266,37.719,26.804,421.639,1.415,1.3669004,59
1011222,2023-06-16 07:00,398.963,1.793,35112.525,34238.356,969.224,37.845,26.87,421.639,1.415,1.376814,59
0101121B,2023-06-16 08:00,487.047,1.998,32716.534,33239.5,968.9,28.337,31.487,426.764,1.37,1.3459114,58
0101121E,2023-06-16 08:00,454.476,1.711,33525.983,33877.966,969.134,28.173,31.314,426.764,1.37,1.3242305,58
1011222,2023-06-16 08:00,404.274,1.796,34416.569,33583.759,969.079,28.453,31.214,426.764,1.37,1.3300016,58
0101121B,2023-06-16 09:00,472.479,1.69,32533.732,33606.018,968.538,19.85,33.926,418.733,1.101,1.0850915,56
0101121E,2023-06-16 09:00,444.92,1.422,33370.536,34315.036,968.73,19.694,33.753,418.733,1.101,1.0653601,56
1011222,2023-06-16 09:00,396.88,1.505,34200.625,33951.964,968.668,19.876,33.722,418.733,1.101,1.0738722,56
0101121B,2023-06-16 10:00,470.138,1.495,32081.643,33619.054,968.205,14.111,36.731,415.366,0.91,0.8963322,56
0101121E,2023-06-16 10:00,442.371,1.234,33006.714,34391.393,968.375,13.899,36.682,415.366,0.91,0.880254,56
1011222,2023-06-16 10:00,395.805,1.331,33808.607,33952.804,968.357,14.177,36.49,415.366,0.91,0.8888117,56
0101121B,2023-06-16 11:00,463.649,1.443,32015.203,33598.22,967.997,12.757,37.706,414.439,0.898,0.8574601,59
0101121E,2023-06-16 11:00,438.429,1.183,32952.712,34414.305,968.166,12.645,37.546,414.439,0.898,0.8425867,59
1011222,2023-06-16 11:00,393.456,1.278,33721.441,33962.136,968.19,12.954,37.362,414.439,0.898,0.8543221,59
0101121B,2023-06-16 12:00,461.689,1.437,32218.909,33767.836,967.709,13.678,36.729,413.689,0.905,0.8698793,55
0101121E,2023-06-16 12:00,436.829,1.182,33123.4,34564.527,967.884,13.617,36.536,413.689,0.905,0.856978,55
1011222,2023-06-16 12:00,391.558,1.273,33918.545,34146.218,967.913,13.953,36.298,413.689,0.905,0.8671348,55
0101121B,2023-06-16 13:00,462.407,1.361,31763.418,33546.582,967.275,10.537,39.242,414.077,0.83,0.7721271,55
0101121E,2023-06-16 13:00,437.24,1.102,32795.036,34457.673,967.407,10.651,38.783,414.077,0.83,0.7614356,55
1011222,2023-06-16 13:00,393.291,1.21,33547.018,33955.6,967.502,10.979,38.522,414.077,0.83,0.7738395,55
0101121B,2023-06-16 14:00,456.905,1.26,32259.618,34203.709,966.851,11.502,36.943,414.429,0.785,0.7443711,55
0101121E,2023-06-16 14:00,433.824,1.014,33189.909,35083.345,966.929,11.701,36.445,414.429,0.785,0.7368952,55
1011222,2023-06-16 14:00,389.391,1.091,33983,34693.164,967.075,12.067,36.149,414.429,0.785,0.7475734,55
0101121B,2023-06-16 15:00,456.533,1.157,32379.255,34614.364,966.533,10.771,36.3,416.358,0.708,0.6729767,55
0101121E,2023-06-16 15:00,434.511,0.922,33266.309,35486.873,966.627,10.97,35.817,416.358,0.708,0.6676855,55
1011222,2023-06-16 15:00,389.742,0.986,34079.182,35140.618,966.796,11.349,35.466,416.358,0.708,0.6774265,55
0101121B,2023-06-16 16:00,449.925,1.145,32957,35106.434,966.402,13.264,33.631,415.27,0.733,0.7147636,53
0101121E,2023-06-16 16:00,431.081,0.918,33647.868,35861.264,966.46,13.227,33.508,415.27,0.733,0.7079924,53
1011222,2023-06-16 16:00,386.357,0.977,34472.717,35555.396,966.6,13.54,33.245,415.27,0.733,0.7140186,53
0101121B,2023-06-16 17:00,450.285,1.131,33352.852,35556.204,966.593,15.275,31.317,416.449,0.739,0.7206443,54
0101121E,2023-06-16 17:00,432.035,0.909,33922.333,36244.611,966.656,15.124,31.333,416.449,0.739,0.7139757,54
1011222,2023-06-16 17:00,386.437,0.955,34780.407,36012.722,966.789,15.432,31.101,416.449,0.739,0.7189597,54
0101121B,2023-06-16 18:00,451.543,1.248,33751.633,35608.517,966.823,20.256,28.867,417.667,0.862,0.8312828,60
0101121E,2023-06-16 18:00,433.2,1.021,34216.867,36240.767,966.842,20.069,28.898,417.667,0.862,0.8251474,60
1011222,2023-06-16 18:00,386.7,1.058,35109.567,36087.383,966.993,20.394,28.712,417.667,0.862,0.8294702,60
0101121B,2023-06-16 19:00,471.307,1.373,33777.931,35591.121,967.05,25.996,26.692,437.168,1.002,0.9393054,58
0101121E,2023-06-16 19:00,452.647,1.143,34130.931,36153.69,967.129,25.875,26.755,437.168,1.002,0.9382884,58
1011222,2023-06-16 19:00,404.279,1.171,35042.241,36072.052,967.286,26.171,26.631,437.168,1.002,0.9419939,58
0101121B,2023-06-16 20:00,502.023,1.464,33571,35620.65,967.627,31.349,24.8,464.075,1.082,1.0133706,60
0101121E,2023-06-16 20:00,480.802,1.227,33855.833,36154.267,967.708,31.163,24.854,464.075,1.082,1.0105675,60
1011222,2023-06-16 20:00,430.248,1.254,34781.633,36123.167,967.82,31.582,24.742,464.075,1.082,1.0172443,60
0101121B,2023-06-16 21:00,540.153,1.535,33311.364,35764.255,967.749,38.005,22.496,497.912,1.163,1.0686681,55
0101121E,2023-06-16 21:00,513.36,1.281,33547.018,36297,967.822,37.724,22.56,497.912,1.163,1.064876,55
1011222,2023-06-16 21:00,460.569,1.306,34490.109,36334.636,967.947,37.901,22.451,497.912,1.163,1.0626705,55
0101121B,2023-06-16 22:00,545.486,1.565,33398.25,35845.714,967.754,41.647,21.35,499.799,1.175,1.0931892,56
0101121E,2023-06-16 22:00,517.025,1.311,33603.339,36355.732,967.8,41.299,21.405,499.799,1.175,1.0877384,56
1011222,2023-06-16 22:00,463.323,1.336,34572.786,36425.393,967.921,41.674,21.291,499.799,1.175,1.0898467,56
0101121B,2023-06-16 23:00,539.828,1.54,33654.926,36087.741,967.706,43.741,20.211,493.08,1.139,1.0707027,54
0101121E,2023-06-16 23:00,511.374,1.283,33812.315,36600.889,967.791,43.326,20.27,493.08,1.139,1.0642713,54
1011222,2023-06-16 23:00,457.381,1.311,34807.87,36689.907,967.844,43.703,20.166,493.08,1.139,1.0666197,54
0101121B,2023-06-17,536.307,1.531,33751.696,36152.036,967.525,44.076,19.933,488.445,1.115,1.0605514,56
0101121E,2023-06-17,507.459,1.277,33909.643,36661.071,967.638,43.687,19.957,488.445,1.115,1.0526909,56
1011222,2023-06-17,453.134,1.305,34919.536,36755.375,967.682,44.051,19.875,488.445,1.115,1.0560483,56
0101121B,2023-06-17 01:00,552.833,1.552,33555.439,36157.526,967.419,46.065,19.454,505.147,1.147,1.0757791,57
0101121E,2023-06-17 01:00,523.347,1.293,33682.228,36666.14,967.558,45.688,19.509,505.147,1.147,1.0705081,57
1011222,2023-06-17 01:00,468.154,1.322,34694.035,36776.298,967.6,45.96,19.4,505.147,1.147,1.0694885,57
0101121B,2023-06-17 02:00,569.42,1.559,33475.455,36319.545,967.422,50,18.167,520.864,1.172,1.0772394,55
0101121E,2023-06-17 02:00,539.229,1.296,33535.982,36822.145,967.525,49.738,18.227,520.864,1.172,1.075504,55
1011222,2023-06-17 02:00,482.876,1.329,34562.327,36963.345,967.545,49.934,18.102,520.864,1.172,1.0712376,55
0101121B,2023-06-17 03:00,578.465,1.57,33501.509,36461.246,967.416,54.216,16.919,527.815,1.165,1.0799557,57
0101121E,2023-06-17 03:00,547.809,1.299,33499.596,36969.842,967.507,53.826,17.003,527.815,1.165,1.0778392,57
1011222,2023-06-17 03:00,490.911,1.336,34541.579,37139.947,967.519,53.951,16.871,527.815,1.165,1.0713672,57
0101121B,2023-06-17 04:00,569.727,1.612,33513.6,36206.95,967.583,52.807,17.831,515.804,1.149,1.1129605,60
0101121E,2023-06-17 04:00,537.772,1.334,33592.767,36741.483,967.757,52.396,17.833,515.804,1.149,1.1043942,60
1011222,2023-06-17 04:00,481.293,1.376,34628.2,36867.517,967.685,52.906,17.724,515.804,1.149,1.1076729,60
0101121B,2023-06-17 05:00,545.191,1.661,33495.2,35660.509,967.522,45.62,20.712,490.751,1.171,1.1511415,55
0101121E,2023-06-17 05:00,512.444,1.381,33758.018,36229.073,967.72,45.391,20.624,490.751,1.171,1.138954,55
1011222,2023-06-17 05:00,457.349,1.424,34769.2,36266.455,967.718,45.893,20.515,490.751,1.171,1.1438296,55
0101121B,2023-06-17 06:00,528.362,1.755,33256.414,34917.414,967.717,39.1,24.071,470.783,1.224,1.2084198,58
0101121E,2023-06-17 06:00,493.747,1.471,33725.966,35508.741,967.91,38.839,23.987,470.783,1.224,1.1939216,58
1011222,2023-06-17 06:00,440.422,1.531,34692.431,35410.414,967.926,39.191,23.893,470.783,1.224,1.1979414,58
0101121B,2023-06-17 07:00,504.615,1.796,32911.691,34143.491,967.796,29.879,28.624,446.707,1.216,1.2064445,55
0101121E,2023-06-17 07:00,471.58,1.519,33577.818,34757.418,967.991,29.602,28.556,446.707,1.216,1.190197,55
1011222,2023-06-17 07:00,420.402,1.595,34487.673,34515.109,968.015,29.866,28.475,446.707,1.216,1.1953859,55
0101121B,2023-06-17 08:00,496.271,1.772,32408.322,33626.678,967.434,22.942,32.432,436.845,1.173,1.1518291,59
0101121E,2023-06-17 08:00,462.39,1.498,33244.678,34286.203,967.625,22.668,32.406,436.845,1.173,1.1357629,59
1011222,2023-06-17 08:00,413.015,1.587,34105.932,33952.881,967.666,22.95,32.256,436.845,1.173,1.1402388,59
0101121B,2023-06-17 09:00,481.977,1.547,31999.226,33595.962,967.055,15.289,36.137,421.591,0.956,0.940798,53
0101121E,2023-06-17 09:00,447.877,1.282,32998.981,34357.509,967.255,15.083,36.069,421.591,0.956,0.9238017,53
1011222,2023-06-17 09:00,401.04,1.378,33786.868,33917.547,967.321,15.274,35.981,421.591,0.956,0.9317485,53
0101121B,2023-06-17 10:00,478.114,1.444,31731.881,33533.271,966.664,12.153,38.019,417.729,0.867,0.832757,59
0101121E,2023-06-17 10:00,443.875,1.181,32807.576,34353.949,966.834,11.979,37.912,417.729,0.867,0.8163518,59
1011222,2023-06-17 10:00,398.302,1.281,33556.678,33863.119,966.897,12.189,37.847,417.729,0.867,0.827465,59
0101121B,2023-06-17 11:00,477.374,1.466,31373.333,33125.667,966.277,10.683,40.124,417.35,0.887,0.820098,57
0101121E,2023-06-17 11:00,443.756,1.197,32532.842,34017.053,966.405,10.643,39.822,417.35,0.887,0.8034731,57
1011222,2023-06-17 11:00,398.989,1.308,33263.947,33492.088,966.518,10.934,39.663,417.35,0.887,0.818653,57
0101121B,2023-06-17 12:00,475.941,1.424,31184.607,33026.464,966.021,9.535,41.319,418.662,0.865,0.781314,56
0101121E,2023-06-17 12:00,443.484,1.154,32369.232,33955.286,966.114,9.532,40.971,418.662,0.865,0.7667404,56
1011222,2023-06-17 12:00,400.246,1.273,33083.25,33415.054,966.255,9.861,40.675,418.662,0.865,0.7807407,56
0101121B,2023-06-17 13:00,471.136,1.315,31400.22,33442.983,965.529,9.115,40.516,417.536,0.795,0.7158478,59
0101121E,2023-06-17 13:00,439.59,1.052,32544.203,34372.949,965.61,9.137,40.228,417.536,0.795,0.706531,59
1011222,2023-06-17 13:00,397.139,1.165,33277.525,33862.492,965.8,9.497,39.798,417.536,0.795,0.7176036,59
0101121B,2023-06-17 14:00,467.218,1.253,31681.767,33819.867,965.135,9.512,39.267,417.314,0.768,0.6995345,60
0101121E,2023-06-17 14:00,436.6,0.997,32803.333,34763.683,965.172,9.688,38.803,417.314,0.768,0.6949764,60
1011222,2023-06-17 14:00,393.662,1.086,33554.767,34317.317,965.35,10.058,38.429,417.314,0.768,0.7069858,60
0101121B,2023-06-17 15:00,463.333,1.2,31936.448,34153,964.819,9.877,38.179,416.804,0.743,0.6839674,58
0101121E,2023-06-17 15:00,434.438,0.955,33008.81,35077.724,964.886,10.105,37.637,416.804,0.743,0.6798345,58
1011222,2023-06-17 15:00,391.045,1.025,33769.655,34678.983,965.093,10.462,37.348,416.804,0.743,0.6928309,58
0101121B,2023-06-17 16:00,457.193,1.2,32520.667,34635.117,964.603,12.524,35.432,417.148,0.784,0.7459204,60
0101121E,2023-06-17 16:00,431.717,0.96,33385.283,35436.25,964.68,12.464,35.324,417.148,0.784,0.7381648,60
1011222,2023-06-17 16:00,388.657,1.026,34165.733,35090.483,964.88,12.786,35.024,417.148,0.784,0.7447474,60
0101121B,2023-06-17 17:00,456.495,1.228,32932.915,34950.864,964.649,15.118,33.14,417.13,0.828,0.7934844,59
0101121E,2023-06-17 17:00,431.48,0.993,33691.169,35676.153,964.681,14.973,33.135,417.13,0.828,0.7856666,59
1011222,2023-06-17 17:00,387.385,1.046,34499.729,35395.271,964.892,15.271,32.924,417.13,0.828,0.7916947,59
0101121B,2023-06-17 18:00,464.57,1.352,33256.964,35041.339,964.852,20.329,30.466,425.717,0.971,0.9156868,56
0101121E,2023-06-17 18:00,439.761,1.116,33890.018,35685.161,964.9,20.178,30.523,425.717,0.971,0.9118812,56
1011222,2023-06-17 18:00,394.041,1.152,34735.536,35504.411,965.086,20.488,30.364,425.717,0.971,0.9173956,56
0101121B,2023-06-17 19:00,485.582,1.499,33514.382,35206.091,965.242,28.636,26.84,445.649,1.148,1.0439756,55
0101121E,2023-06-17 19:00,458.985,1.251,33997.655,35784.745,965.264,28.475,26.92,445.649,1.148,1.0428766,55
1011222,2023-06-17 19:00,411.327,1.283,34876.309,35685.345,965.467,28.753,26.839,445.649,1.148,1.0478484,55
0101121B,2023-06-17 20:00,513.213,1.558,33521.455,35482.436,965.658,35.611,23.95,469.208,1.203,1.0960959,55
0101121E,2023-06-17 20:00,485.202,1.305,33870,36020.164,965.68,35.365,24.032,469.208,1.203,1.0938261,55
1011222,2023-06-17 20:00,434.955,1.332,34789.382,36005.909,965.882,35.723,23.947,469.208,1.203,1.0990922,55
0101121B,2023-06-17 21:00,529.945,1.568,33505.302,35700.34,965.887,39.539,22.289,484.509,1.177,1.101212,53
0101121E,2023-06-17 21:00,500.517,1.31,33786.34,36232.509,965.93,39.099,22.36,484.509,1.177,1.0935511,53
1011222,2023-06-17 21:00,448.594,1.335,34736.604,36272.906,966.142,39.52,22.253,484.509,1.177,1.0979409,53
0101121B,2023-06-17 22:00,538.637,1.561,33550.5,35900.259,965.965,42.356,21.055,491.755,1.168,1.0937421,54
0101121E,2023-06-17 22:00,508.583,1.301,33777.259,36425.741,966.031,41.975,21.105,491.755,1.168,1.0871952,54
1011222,2023-06-17 22:00,455.774,1.33,34742,36483.759,966.154,42.34,21.036,491.755,1.168,1.0918565,54
0101121B,2023-06-17 23:00,557.337,1.598,33402.815,35941.185,966.006,46.237,20.026,510.141,1.209,1.120469,54
0101121E,2023-06-17 23:00,526.461,1.332,33573.204,36458.574,966.043,45.814,20.102,510.141,1.209,1.1154192,54
1011222,2023-06-17 23:00,472.252,1.36,34553.963,36558.796,966.18,46.044,20,510.141,1.209,1.1138616,54
0101121B,2023-06-18,559.267,1.575,33524.345,36162.2,965.636,48.466,18.959,510.625,1.175,1.0999205,55
0101121E,2023-06-18,527.964,1.308,33651.473,36681.873,965.711,48.07,19.006,510.625,1.175,1.0940154,55
1011222,2023-06-18,473.315,1.341,34652.673,36795.036,965.787,48.424,18.9,510.625,1.175,1.094754,55
0101121B,2023-06-18 01:00,579.175,1.587,33341.737,36258.351,965.735,51.631,18.024,529.346,1.194,1.10479,57
0101121E,2023-06-18 01:00,546.926,1.317,33420.158,36769.368,965.8,51.264,18.092,529.346,1.194,1.1015886,57
1011222,2023-06-18 01:00,491.226,1.354,34423.842,36903.737,965.912,51.607,17.97,529.346,1.194,1.1003644,57
0101121B,2023-06-18 02:00,571.694,1.561,33532.673,36412.654,965.738,52.366,17.477,520.658,1.149,1.0826492,52
0101121E,2023-06-18 02:00,539.49,1.29,33590.481,36930.885,965.8,51.911,17.553,520.658,1.149,1.0783043,52
1011222,2023-06-18 02:00,483.894,1.329,34611.577,37073.904,965.881,52.293,17.423,520.658,1.149,1.0772736,52
0101121B,2023-06-18 03:00,589.4,1.575,33369.163,36487.531,965.847,55.496,16.626,537.421,1.174,1.0870851,49
0101121E,2023-06-18 03:00,556.014,1.302,33389.224,36998.082,965.961,55.128,16.709,537.421,1.174,1.0854225,49
1011222,2023-06-18 03:00,499.38,1.341,34418.898,37170.816,965.976,55.345,16.576,537.421,1.174,1.0805431,49
0101121B,2023-06-18 04:00,587.45,1.577,33397,36478,965.8,55.53,16.645,533.914,1.136,1.0891601,2
0101121E,2023-06-18 04:00,553,1.301,33439,37003,965.95,54.965,16.695,533.914,1.136,1.081346,2
1011222,2023-06-18 04:00,496.9,1.341,34458.5,37165.5,965.95,55.39,16.61,533.914,1.136,1.0838351,2
0101121B,2023-06-18 05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0101121E,2023-06-18 05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1011222,2023-06-18 05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0101121B,2023-06-18 06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0101121E,2023-06-18 06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1011222,2023-06-18 06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0101121B,2023-06-18 07:00,505.991,1.701,32628.348,34141.478,965.743,25.263,30.215,444.402,1.127,1.1232122,23
0101121E,2023-06-18 07:00,468.109,1.433,33432.609,34773.435,965.952,24.975,30.207,444.402,1.127,1.109661,23
1011222,2023-06-18 07:00,418.209,1.513,34306.826,34482,966,25.174,30.126,444.402,1.127,1.1132532,23
0101121B,2023-06-18 08:00,499.707,1.726,32122.625,33524.071,965.571,20.535,33.794,438.696,1.134,1.1150505,56
0101121E,2023-06-18 08:00,462.87,1.455,33068.161,34223.446,965.763,20.348,33.667,438.696,1.134,1.0970291,56
1011222,2023-06-18 08:00,414.738,1.546,33886.893,33853.446,965.809,20.563,33.565,438.696,1.134,1.1023862,56
0101121B,2023-06-18 09:00,495.207,1.768,31503,32794.525,965.076,16.136,37.803,433.732,1.141,1.0942318,59
0101121E,2023-06-18 09:00,458.497,1.48,32573.932,33564.542,965.263,15.879,37.795,433.732,1.141,1.0759831,59
1011222,2023-06-18 09:00,412.851,1.597,33314.254,33083.763,965.337,16.088,37.681,433.732,1.141,1.0833202,59
0101121B,2023-06-18 10:00,483.685,1.707,31343.833,32626.963,964.73,13.648,39.741,424.858,1.103,1.0297329,54
0101121E,2023-06-18 10:00,449.206,1.418,32473.444,33466.5,964.857,13.505,39.599,424.858,1.103,1.0109917,54
1011222,2023-06-18 10:00,405.135,1.54,33178.907,32946.759,965.009,13.741,39.486,424.858,1.103,1.0224028,54
0101121B,2023-06-18 11:00,475.774,1.664,31284.947,32553.386,964.189,12.534,40.765,420.092,1.079,0.9992302,57
0101121E,2023-06-18 11:00,443.025,1.37,32426.035,33430.544,964.291,12.396,40.639,420.092,1.079,0.981621,57
1011222,2023-06-18 11:00,400.404,1.499,33129.912,32903.561,964.43,12.725,40.359,420.092,1.079,0.9925778,57
0101121B,2023-06-18 12:00,475.481,1.624,30965.981,32340.5,963.552,10.539,42.593,417.472,1.03,0.9247964,54
0101121E,2023-06-18 12:00,442.294,1.334,32196.667,33276.667,963.631,10.516,42.266,417.472,1.03,0.9073585,54
1011222,2023-06-18 12:00,400.13,1.472,32855.407,32683.037,963.867,10.778,42.136,417.472,1.03,0.9231026,54
0101121B,2023-06-18 13:00,471.484,1.598,30910.224,32292.379,962.936,9.895,43.25,415.768,1.028,0.900361,58
0101121E,2023-06-18 13:00,439,1.309,32207.897,33295.948,962.995,10.119,42.557,415.768,1.028,0.8878387,58
1011222,2023-06-18 13:00,397.676,1.446,32846.052,32691.414,963.226,10.366,42.479,415.768,1.028,0.9056897,58
0101121B,2023-06-18 14:00,468.209,1.56,31194.158,32599.649,962.533,10.694,41.934,416.661,1.019,0.9084209,57
0101121E,2023-06-18 14:00,436.198,1.269,32424.702,33576.86,962.572,10.921,41.423,416.661,1.019,0.9032587,57
1011222,2023-06-18 14:00,395.063,1.388,33117.807,33060.228,962.812,11.299,41.065,416.661,1.019,0.9166855,57
0101121B,2023-06-18 15:00,465.979,1.604,31366.208,32631.34,962.257,11.91,41.162,417.645,1.083,0.9695201,53
0101121E,2023-06-18 15:00,435.462,1.314,32535.302,33561.189,962.302,12.083,40.76,417.645,1.083,0.9635974,53
1011222,2023-06-18 15:00,394.032,1.423,33250.509,33097.113,962.538,12.525,40.339,417.645,1.083,0.9766892,53
0101121B,2023-06-18 16:00,461,1.552,32144.831,33408.712,962.515,15.473,37.212,420.134,1.098,1.0186725,59
0101121E,2023-06-18 16:00,434.646,1.289,33076.78,34178.203,962.542,15.368,37.132,420.134,1.098,1.0073747,59
1011222,2023-06-18 16:00,392.339,1.371,33810.983,33786.949,962.795,15.698,36.912,420.134,1.098,1.016622,59
0101121B,2023-06-18 17:00,466.585,1.533,32694.733,34051.033,963.062,19.344,33.544,426.278,1.1,1.0412058,60
0101121E,2023-06-18 17:00,440.225,1.278,33489.867,34751.667,963.085,19.216,33.478,426.278,1.1,1.0306388,60
1011222,2023-06-18 17:00,395.883,1.337,34273.267,34457.15,963.325,19.503,33.357,426.278,1.1,1.0386694,60
0101121B,2023-06-18 18:00,471.666,1.621,32783.288,33985.475,963.376,22.088,32.552,431.166,1.2,1.1230113,59
0101121E,2023-06-18 18:00,445.569,1.367,33520.458,34632.254,963.398,21.917,32.555,431.166,1.2,1.1145519,59
1011222,2023-06-18 18:00,400.141,1.415,34322.898,34387.068,963.656,22.215,32.444,431.166,1.2,1.1223535,59
0101121B,2023-06-18 19:00,470.985,1.884,33215.426,33716.37,963.85,30.588,30.084,429.031,1.456,1.3507335,54
0101121E,2023-06-18 19:00,444.317,1.611,33878.63,34318.13,963.865,30.432,29.989,429.031,1.456,1.3365098,54
1011222,2023-06-18 19:00,397.774,1.651,34714,34134.685,964.122,30.688,30,429.031,1.456,1.3482222,54
0101121B,2023-06-18 20:00,478.732,1.912,33354.088,33885.789,964.279,34.226,28.503,434.613,1.488,1.3812484,57
0101121E,2023-06-18 20:00,451.225,1.636,33937.825,34445.123,964.333,33.904,28.548,434.613,1.488,1.3717767,57
1011222,2023-06-18 20:00,403.691,1.671,34811.544,34325.105,964.57,34.278,28.444,434.613,1.488,1.3781762,57
0101121B,2023-06-18 21:00,489.003,1.891,33405.81,34133.086,964.419,36.665,27.164,445.087,1.472,1.3675103,58
0101121E,2023-06-18 21:00,460.883,1.612,33932.362,34691.966,964.467,36.389,27.194,445.087,1.472,1.3594745,58
1011222,2023-06-18 21:00,412.571,1.647,34818.776,34595.983,964.659,36.664,27.107,445.087,1.472,1.362617,58
0101121B,2023-06-18 22:00,522.471,1.925,33217.672,34364.345,964.555,42.748,24.94,476.108,1.535,1.3978798,58
0101121E,2023-06-18 22:00,493.172,1.646,33626.724,34878.759,964.609,42.503,24.993,476.108,1.535,1.3942495,58
1011222,2023-06-18 22:00,442.714,1.675,34531.224,34857.017,964.776,42.8,24.88,476.108,1.535,1.3942486,58
0101121B,2023-06-18 23:00,533.16,1.962,33272.5,34477.917,964.755,47.689,23.479,484.099,1.566,1.4286557,60
0101121E,2023-06-18 23:00,503.405,1.675,33612.967,34980.383,964.857,47.411,23.533,484.099,1.566,1.4248279,60
1011222,2023-06-18 23:00,451.77,1.707,34540.883,34989.7,964.982,47.766,23.407,484.099,1.566,1.4244435,60
0101121B,2023-06-19,555.374,1.998,33078.552,34527.914,965.174,51.633,22.456,505.942,1.586,1.4537432,58
0101121E,2023-06-19,524.61,1.706,33364.121,35019.017,965.283,51.259,22.513,505.942,1.586,1.4480939,58
1011222,2023-06-19,471.167,1.736,34305.293,35062.362,965.426,51.584,22.401,505.942,1.586,1.447168,58
0101121B,2023-06-19 01:00,548.968,2.046,33102.661,34340.034,965.773,51.237,22.966,495.803,1.573,1.4870544,59
0101121E,2023-06-19 01:00,517.102,1.751,33438.339,34834.119,965.91,50.725,22.997,495.803,1.573,1.4747153,59
1011222,2023-06-19 01:00,463.332,1.787,34387.966,34848.508,966.029,51.21,22.9,495.803,1.573,1.4799122,59
0101121B,2023-06-19 02:00,499.837,2.247,33754.158,33743.789,966.719,53.628,23.865,443.776,1.741,1.6391692,57
0101121E,2023-06-19 02:00,470.084,1.936,34162.211,34250.772,966.87,53.367,23.783,443.776,1.741,1.6229955,57
1011222,2023-06-19 02:00,418.833,1.98,35130.333,34227,966.953,53.863,23.695,443.776,1.741,1.629382,57
0101121B,2023-06-19 03:00,522.679,2.506,33630.362,33377.259,967.319,65.823,22.24,452.4,1.964,1.8251264,58
0101121E,2023-06-19 03:00,493.098,2.173,33928.983,33835.259,967.476,65.741,22.215,452.4,1.964,1.8197834,58
1011222,2023-06-19 03:00,438.203,2.217,34945.793,33869,967.566,66.207,22.131,452.4,1.964,1.8231384,58
0101121B,2023-06-19 04:00,527.52,2.574,33551.018,33233.089,967.93,67.892,22.237,451.827,1.978,1.881273,56
