date,pressure(hPa),temp_detector_nc1(C) ,rh(%),temp_sensor(C),k96_lpl_raw,k96_spl_raw,k96_mpl_raw,k96_ch4(ppm) ,k96_h2o(ppm) ,ref_h2o(ppm),ref_ch4(ppm),ref_co2(ppm)
6/21/2022 15:15,1008.9,43.95,16.818,43.742,439343.695,748037.762,268165.876,128.0531686,21602.43509,21493.443,4.387,448.213
6/21/2022 15:16,1008.9,43.959,16.83,43.749,439348.981,748078.81,268143,127.7945334,21616.61123,21511.667,4.052,442.733
6/21/2022 15:17,1008.9,43.96,16.796,43.75,439368.057,748077.895,268234.933,126.8614938,21559.66811,21398.333,3.534,435.25
6/21/2022 15:18,1008.9,43.955,16.759,43.741,439366.143,747993.676,268328.4,126.9550884,21501.84935,21354.098,3.879,438.869
6/21/2022 15:19,1008.9,43.95,16.682,43.739,439388.514,747918.8,268548.324,125.8614594,21366.10056,21146.667,3.43,433.533
6/21/2022 15:20,1008.874,43.948,16.658,43.73,439381.562,747793.41,268575.457,126.2012418,21349.38146,21216.667,3.602,435.567
6/21/2022 15:21,1008.8,43.94,16.677,43.73,439371.267,747700.619,268510.895,126.7045361,21389.17436,21281.967,3.546,434.77
6/21/2022 15:22,1008.8,43.94,16.664,43.73,439378.219,747663.857,268571.686,126.364656,21351.70473,21193.333,3.577,434.633
6/21/2022 15:23,1008.752,43.94,16.622,43.73,439382.181,747593.933,268668.6,126.1709852,21292.03576,21153.333,3.626,435.467
6/21/2022 15:24,1008.7,43.94,16.646,43.73,439368.59,747612.076,268591.971,126.835431,21339.20878,21254.098,4.609,449.426
6/21/2022 15:25,1008.7,43.94,16.69,43.73,439359.8,747632.41,268488.619,127.2652968,21402.91253,21288.333,4.125,442.667
6/21/2022 15:26,1008.7,43.94,16.704,43.734,439359.19,747672.619,268471.724,127.2951321,21413.33495,21313.333,4.836,452.983
6/21/2022 15:27,1008.7,43.945,16.71,43.74,439340.429,747763.752,268426.162,128.2129876,21441.45409,21419.672,7.17,486.721
6/21/2022 15:28,1008.7,43.95,16.697,43.74,439328.267,747839.648,268447.543,128.808253,21428.25633,21275,5.516,461.95
6/21/2022 15:29,1008.7,43.95,16.68,43.74,439356.543,747848.857,268489.438,127.4246037,21402.40736,21251.667,4.233,443.217
6/21/2022 15:30,1008.7,43.95,16.661,43.74,439370.238,747765.762,268583.514,126.7548491,21344.41803,21172.131,4.156,442.393
6/21/2022 15:31,1008.7,43.95,16.634,43.74,439365.59,747774.333,268632.019,126.982131,21314.54882,21138.333,4.191,442.5
6/21/2022 15:32,1008.7,43.95,16.586,43.739,439370.8,747751.838,268714.152,126.7273699,21264.01776,21168.333,4.278,443.417
6/21/2022 15:33,1008.7,43.95,16.656,43.74,439344.171,747859.571,268507.562,128.0298771,21391.22963,21334.426,5.074,454.787
6/21/2022 15:34,1008.683,43.95,16.683,43.742,439342.81,747914.419,268452.629,128.0964739,21425.11749,21360,5.44,459.583
6/21/2022 15:35,1008.6,43.95,16.722,43.741,439327.476,747930.667,268365.99,128.8469753,21478.61733,21473.333,6.558,475.1
6/21/2022 15:36,1008.6,43.95,16.733,43.74,439335.486,747777.905,268385.276,128.4548969,21466.70259,21300,4.883,452.377
6/21/2022 15:37,1008.6,43.95,16.736,43.737,439357.876,747716.952,268448.076,127.359402,21427.92737,21265,4.145,443.133
6/21/2022 15:38,1008.6,43.943,16.707,43.739,439366.543,747661.133,268520.067,126.935528,21383.519,21236.667,3.75,438.733
6/21/2022 15:39,1008.6,43.94,16.73,43.74,439359.971,747614.21,268447.076,127.2569332,21428.54455,21381.967,3.684,438.656
6/21/2022 15:40,1008.6,43.94,16.711,43.73,439376.133,747618.81,268532.067,126.4666327,21376.12101,21186.667,3.275,433.117
6/21/2022 15:41,1008.6,43.94,16.671,43.73,439371.143,747543.352,268611.41,126.710599,21327.2373,21210,3.592,437.4
6/21/2022 15:42,1008.6,43.94,16.666,43.73,439377.276,747507.924,268625.743,126.410755,21318.41242,21193.443,3.405,435.23
6/21/2022 15:43,1008.6,43.94,16.64,43.73,439388.152,747482.286,268696.39,125.8791507,21274.94064,21150,3.374,435.467
6/21/2022 15:44,1008.6,43.94,16.645,43.725,439386.971,747443.838,268681.695,125.9368685,21283.9795,21201.667,3.115,432.133
6/21/2022 15:45,1008.6,43.94,16.65,43.728,439373.619,747441.152,268659.39,126.5895405,21297.70279,21195.082,3.224,433.672
6/21/2022 15:46,1008.6,43.94,16.689,43.73,439380.848,747487.619,268561.752,126.2361426,21357.82556,21323.333,3.158,433.067
6/21/2022 15:47,1008.6,43.94,16.815,43.73,439365.4,747493.714,268241.867,126.9914224,21555.37616,21648.333,2.901,431.133
6/21/2022 15:48,1008.614,43.94,16.916,43.73,439354.038,747542.048,268093.086,127.5471386,21647.55831,21657.377,4.918,456.033
6/21/2022 15:49,1008.7,43.94,16.841,43.73,439319.705,747545.552,268232.771,129.2274387,21561.00642,21500,5.44,462.1
6/21/2022 15:50,1008.781,43.94,16.963,43.731,439261.162,747459.819,267878.952,132.0963189,21780.56622,21688.333,4.507,451.683
